X,Y,OBJECTID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,DATA_SECURITY,DISTRIBUTION_POLICY,LOADDATE,FTYPE,FCODE,NAME,ISLANDMARK,POINTLOCATIONTYPE,ADMINTYPE,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID
-8902931.133,4479072.943,46,{14205455-F8A6-46D5-97AC-EB44232F26EE},,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,2016/07/27 00:00:00+00,740,74026,Roanoke Fire - EMS Station 9,,1,,,514 24th Street,Roanoke,VA,24017,,,,{89EB6898-9956-4B51-8005-A3E72FEE9E40}
-8950604.542,4468248.68,62,{89598BD0-319A-47A0-A306-BD019AA75D76},,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,2016/07/27 00:00:00+00,740,74026,Blacksburg Volunteer Fire Department,,1,,,407 Hubbard Street,Blacksburg,VA,24060,,,,{077BE8DD-58FC-43CE-8815-C6EC51D8204F}
-8650001.402,4622368.946,18453,{549E173D-4431-4DE4-AB10-CBF7D8E421A9},,c49d87e5-a145-4cec-ae00-14715ea34eec,740 TNMC Update 1/8/2017,U.S. Geological Survey,5,E4,2017/01/08 21:19:41+00,740,74026,Spotsylvania County Fire and Rescue Station 7,2,1,0,,10501 Orange Plank Road,Spotsylvania,VA,22553,2075171,,,{53541B1C-7679-485E-B869-736F5E4678EE}
-8627035.472,4621075.174,18463,c6200e19-8a51-4314-9d34-4688b9e0a529,VA000008,c49d87e5-a145-4cec-ae00-14715ea34eec,740 TNMC Update 1/8/2017,U.S. Geological Survey,5,E4,2017/01/08 21:21:07+00,740,74026,Fredericksburg Fire Department Station 2,2,1,6,,101 Altoona Drive,Fredericksburg,VA,22401,2331674, ,,{221CA597-14F9-4B5A-A713-0ACDDFC65C2E}
-8636369.282,4617121.277,18484,{32FC30DE-631B-4FAE-895B-5F6BD558B701},,c49d87e5-a145-4cec-ae00-14715ea34eec,740 TNMC Update 1/8/2017,U.S. Geological Survey,5,E4,2017/01/08 21:22:25+00,740,74026,Spotsylvania County Fire and Rescue Station 10,,4,,,11201 Gordon Road,Fredericksburg,VA,22407,2660618,,,{BFED7B6D-2C20-45DB-970A-8CF4687FFDB5}
-8704709.081,4574981.473,21114,{7443FE76-8F63-4C2C-959A-D9A10A45E822},,9528a180-1f9b-40a0-b350-544f399a724f,740 TNMC Update 2/23/2017,U.S. Geological Survey,5,E4,2017/02/23 14:17:58+00,740,74026,Zion Crossroads Volunteer Fire Department Company 7,2,1,,,409 Poindexter Road,Louisa,VA,23093,2075278,,,{1B2A239E-0616-4A8F-98B7-D80D490EC668}
-8622298.075,4515283.488,21138,e332c7e7-c5fa-4bff-a7d3-d19b3ea5d800,VA000186,9528a180-1f9b-40a0-b350-544f399a724f,740 TNMC Update 2/23/2017,U.S. Geological Survey,5,E4,2017/02/23 17:20:45+00,740,74026,Richmond Fire Department Station 5,2,1,6,,324 West Leigh Street,Richmond,VA,23220,2075206, ,,{BA7E3F7F-5B63-4FD7-A56C-4B905C536989}
-8741204.365,4586056.267,22614,{7278E45A-199E-4001-8886-D341CA9C1600},,9528a180-1f9b-40a0-b350-544f399a724f,740 TNMC Update 2/23/2017,U.S. Geological Survey,5,E4,2017/02/23 14:35:00+00,740,74026,Charlottesville Fire Department Station 10,2,4,,,Ivy Road and US Highway 29,Charlottesville,VA,22903,2721061,,,{22807687-123D-4BC3-9746-E3F207D11F11}
-8633953.872,4514521.386,23806,ca31414f-d507-4b61-853a-34341887d9dc,VA000316,bb440829-5bde-455f-8836-a656c4ce84ab,740 TNMC Update 3/1/2017,U.S. Geological Survey,5,E4,2017/03/01 14:20:47+00,740,74026,Richmond Fire Department Station 25,2,1,6,,8800 West Huguenot Road,Richmond,VA,23235,2075224, ,,{CE434341-A43B-42F8-94A2-1FC17430B087}
-8625599.887,4517780.674,29537,cbb23151-b1d2-4856-8f1f-96d75bb47456,VA000222,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,2015/09/04 09:20:43+00,740,74026,Richmond Fire Department Station 18,2,1,6,,412 North Thompson Street,Richmond,VA,23221,2075217, ,,{A7970B94-96E3-4DE7-8833-3C42776CACD8}
-8653967.332,4729817.433,29538,52202444-6eea-4351-8179-51000e915cf8,VA000198,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,2016/08/12 13:19:58+00,740,74026,Loudoun County Fire and Rescue Philomont Volunteer Fire Department Station 8,2,1,6,,36560 Jeb Stuart Road,Purcellville,VA,20132,2075309, ,,{1859FBBB-3385-4C17-BF24-A04B27DF5C6E}
-8620335.162,4511623.938,29539,d01ec30a-9ddd-43f5-bc7a-2fcfe9e3e618,VA000219,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,2015/09/04 09:20:43+00,740,74026,Richmond Fire Department Station 13,2,1,6,,411 East Commerce Road,Richmond,VA,23224,2075212, ,,{8F4BAD10-EDBD-4BA2-855D-64237A3E24C2}
-8634963.726,4738159.013,29540,a16fce89-3b65-4b55-a504-74e71d23055d,VA000127,{CC44F99C-6658-4584-B606-926E498D5C82},TNMC VWE DB Build - Vol Update,U.S. Geological Survey,5,E4,2015/04/08 09:07:32+00,740,74026,Leesburg Fire Company Station 1,2,1,6,,215 Loudoun Street Southwest,Leesburg,VA,20175,2075330, ,,{7DDE7989-26F9-492B-8B5A-5CDF1D7501EC}
