"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B01002_001E","Estimate!!Median age --!!Total:"
"B01002_001M","Margin of Error!!Median age --!!Total:"
"B01002_001MA","Annotation of Margin of Error!!Median age --!!Total:"
"B01002_001EA","Annotation of Estimate!!Median age --!!Total:"
"B01002_002E","Estimate!!Median age --!!Male"
"B01002_002EA","Annotation of Estimate!!Median age --!!Male"
"B01002_002M","Margin of Error!!Median age --!!Male"
"B01002_002MA","Annotation of Margin of Error!!Median age --!!Male"
"B01002_003E","Estimate!!Median age --!!Female"
"B01002_003M","Margin of Error!!Median age --!!Female"
"B01002_003MA","Annotation of Margin of Error!!Median age --!!Female"
"B01002_003EA","Annotation of Estimate!!Median age --!!Female"
