"GEO_ID","NAME","B01002_001E","B01002_001M","B01002_001MA","B01002_001EA","B01002_002E","B01002_002EA","B01002_002M","B01002_002MA","B01002_003E","B01002_003M","B01002_003MA","B01002_003EA",
"Geography","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Annotation of Margin of Error!!Median age --!!Total:","Annotation of Estimate!!Median age --!!Total:","Estimate!!Median age --!!Male","Annotation of Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Annotation of Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female","Annotation of Margin of Error!!Median age --!!Female","Annotation of Estimate!!Median age --!!Female",
"1500000US510010901011","Block Group 1, Census Tract 901.01, Accomack County, Virginia","62.8","6.7","null","null","65.5","null","4.2","null","59.4","6.5","null","null",
"1500000US510010901012","Block Group 2, Census Tract 901.01, Accomack County, Virginia","50.3","23.1","null","null","51.8","null","10.3","null","38.5","23.4","null","null",
"1500000US510010901021","Block Group 1, Census Tract 901.02, Accomack County, Virginia","67.0","3.8","null","null","67.2","null","4.6","null","66.9","4.0","null","null",
"1500000US510010901022","Block Group 2, Census Tract 901.02, Accomack County, Virginia","30.3","39.6","null","null","19.7","null","7.9","null","63.1","31.2","null","null",
"1500000US510010902011","Block Group 1, Census Tract 902.01, Accomack County, Virginia","53.3","4.4","null","null","53.9","null","7.6","null","50.8","9.5","null","null",
"1500000US510010902012","Block Group 2, Census Tract 902.01, Accomack County, Virginia","61.2","14.4","null","null","48.7","null","29.7","null","63.1","3.8","null","null",
"1500000US510010902021","Block Group 1, Census Tract 902.02, Accomack County, Virginia","40.7","16.0","null","null","40.8","null","16.8","null","36.6","21.3","null","null",
"1500000US510010902022","Block Group 2, Census Tract 902.02, Accomack County, Virginia","47.5","22.4","null","null","46.5","null","25.2","null","52.2","18.3","null","null",
"1500000US510010902023","Block Group 3, Census Tract 902.02, Accomack County, Virginia","54.9","6.3","null","null","50.7","null","10.7","null","58.1","9.4","null","null",
"1500000US510010903001","Block Group 1, Census Tract 903, Accomack County, Virginia","61.2","9.9","null","null","61.6","null","15.0","null","61.1","9.5","null","null",
"1500000US510010903002","Block Group 2, Census Tract 903, Accomack County, Virginia","35.3","9.9","null","null","32.6","null","0.5","null","44.1","17.9","null","null",
"1500000US510010903003","Block Group 3, Census Tract 903, Accomack County, Virginia","43.3","8.7","null","null","40.0","null","11.5","null","43.8","13.8","null","null",
"1500000US510010904011","Block Group 1, Census Tract 904.01, Accomack County, Virginia","41.0","15.0","null","null","35.2","null","11.7","null","41.6","20.5","null","null",
"1500000US510010904012","Block Group 2, Census Tract 904.01, Accomack County, Virginia","48.4","15.6","null","null","51.1","null","20.1","null","41.6","21.9","null","null",
"1500000US510010904021","Block Group 1, Census Tract 904.02, Accomack County, Virginia","45.2","15.3","null","null","51.3","null","11.0","null","36.9","17.1","null","null",
"1500000US510010904022","Block Group 2, Census Tract 904.02, Accomack County, Virginia","31.8","4.8","null","null","33.1","null","5.1","null","31.4","8.7","null","null",
"1500000US510010905001","Block Group 1, Census Tract 905, Accomack County, Virginia","44.6","14.1","null","null","47.2","null","21.0","null","44.2","13.5","null","null",
"1500000US510010905002","Block Group 2, Census Tract 905, Accomack County, Virginia","38.9","11.7","null","null","43.1","null","15.1","null","36.6","15.3","null","null",
"1500000US510010905003","Block Group 3, Census Tract 905, Accomack County, Virginia","35.1","9.8","null","null","38.0","null","17.5","null","31.1","11.3","null","null",
"1500000US510010906001","Block Group 1, Census Tract 906, Accomack County, Virginia","57.6","4.5","null","null","55.0","null","8.4","null","59.3","6.6","null","null",
"1500000US510010906002","Block Group 2, Census Tract 906, Accomack County, Virginia","65.1","7.9","null","null","58.0","null","8.6","null","67.3","6.9","null","null",
"1500000US510010906003","Block Group 3, Census Tract 906, Accomack County, Virginia","54.9","12.4","null","null","42.8","null","24.0","null","57.6","7.4","null","null",
"1500000US510010906004","Block Group 4, Census Tract 906, Accomack County, Virginia","59.0","4.5","null","null","60.4","null","12.3","null","58.9","3.0","null","null",
"1500000US510010907001","Block Group 1, Census Tract 907, Accomack County, Virginia","37.1","7.0","null","null","34.4","null","11.7","null","37.4","5.4","null","null",
"1500000US510010907002","Block Group 2, Census Tract 907, Accomack County, Virginia","48.2","6.9","null","null","27.2","null","14.3","null","57.0","12.2","null","null",
"1500000US510010907003","Block Group 3, Census Tract 907, Accomack County, Virginia","48.7","21.4","null","null","31.5","null","42.6","null","58.1","23.5","null","null",
