"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B15003_001E","Estimate!!Total:"
"B15003_001M","Margin of Error!!Total:"
"B15003_001MA","Annotation of Margin of Error!!Total:"
"B15003_001EA","Annotation of Estimate!!Total:"
"B15003_002E","Estimate!!Total:!!No schooling completed"
"B15003_002EA","Annotation of Estimate!!Total:!!No schooling completed"
"B15003_002M","Margin of Error!!Total:!!No schooling completed"
"B15003_002MA","Annotation of Margin of Error!!Total:!!No schooling completed"
"B15003_003E","Estimate!!Total:!!Nursery school"
"B15003_003M","Margin of Error!!Total:!!Nursery school"
"B15003_003MA","Annotation of Margin of Error!!Total:!!Nursery school"
"B15003_003EA","Annotation of Estimate!!Total:!!Nursery school"
"B15003_004E","Estimate!!Total:!!Kindergarten"
"B15003_004EA","Annotation of Estimate!!Total:!!Kindergarten"
"B15003_004M","Margin of Error!!Total:!!Kindergarten"
"B15003_004MA","Annotation of Margin of Error!!Total:!!Kindergarten"
"B15003_005E","Estimate!!Total:!!1st grade"
"B15003_005EA","Annotation of Estimate!!Total:!!1st grade"
"B15003_005M","Margin of Error!!Total:!!1st grade"
"B15003_005MA","Annotation of Margin of Error!!Total:!!1st grade"
"B15003_006E","Estimate!!Total:!!2nd grade"
"B15003_006M","Margin of Error!!Total:!!2nd grade"
"B15003_006MA","Annotation of Margin of Error!!Total:!!2nd grade"
"B15003_006EA","Annotation of Estimate!!Total:!!2nd grade"
"B15003_007E","Estimate!!Total:!!3rd grade"
"B15003_007EA","Annotation of Estimate!!Total:!!3rd grade"
"B15003_007M","Margin of Error!!Total:!!3rd grade"
"B15003_007MA","Annotation of Margin of Error!!Total:!!3rd grade"
"B15003_008E","Estimate!!Total:!!4th grade"
"B15003_008EA","Annotation of Estimate!!Total:!!4th grade"
"B15003_008M","Margin of Error!!Total:!!4th grade"
"B15003_008MA","Annotation of Margin of Error!!Total:!!4th grade"
"B15003_009E","Estimate!!Total:!!5th grade"
"B15003_009M","Margin of Error!!Total:!!5th grade"
"B15003_009MA","Annotation of Margin of Error!!Total:!!5th grade"
"B15003_009EA","Annotation of Estimate!!Total:!!5th grade"
"B15003_010E","Estimate!!Total:!!6th grade"
"B15003_010M","Margin of Error!!Total:!!6th grade"
"B15003_010MA","Annotation of Margin of Error!!Total:!!6th grade"
"B15003_010EA","Annotation of Estimate!!Total:!!6th grade"
"B15003_011E","Estimate!!Total:!!7th grade"
"B15003_011M","Margin of Error!!Total:!!7th grade"
"B15003_011MA","Annotation of Margin of Error!!Total:!!7th grade"
"B15003_011EA","Annotation of Estimate!!Total:!!7th grade"
"B15003_012E","Estimate!!Total:!!8th grade"
"B15003_012M","Margin of Error!!Total:!!8th grade"
"B15003_012MA","Annotation of Margin of Error!!Total:!!8th grade"
"B15003_012EA","Annotation of Estimate!!Total:!!8th grade"
"B15003_013E","Estimate!!Total:!!9th grade"
"B15003_013EA","Annotation of Estimate!!Total:!!9th grade"
"B15003_013M","Margin of Error!!Total:!!9th grade"
"B15003_013MA","Annotation of Margin of Error!!Total:!!9th grade"
"B15003_014E","Estimate!!Total:!!10th grade"
"B15003_014EA","Annotation of Estimate!!Total:!!10th grade"
"B15003_014M","Margin of Error!!Total:!!10th grade"
"B15003_014MA","Annotation of Margin of Error!!Total:!!10th grade"
"B15003_015E","Estimate!!Total:!!11th grade"
"B15003_015M","Margin of Error!!Total:!!11th grade"
"B15003_015MA","Annotation of Margin of Error!!Total:!!11th grade"
"B15003_015EA","Annotation of Estimate!!Total:!!11th grade"
"B15003_016E","Estimate!!Total:!!12th grade, no diploma"
"B15003_016EA","Annotation of Estimate!!Total:!!12th grade, no diploma"
"B15003_016M","Margin of Error!!Total:!!12th grade, no diploma"
"B15003_016MA","Annotation of Margin of Error!!Total:!!12th grade, no diploma"
"B15003_017E","Estimate!!Total:!!Regular high school diploma"
"B15003_017M","Margin of Error!!Total:!!Regular high school diploma"
"B15003_017MA","Annotation of Margin of Error!!Total:!!Regular high school diploma"
"B15003_017EA","Annotation of Estimate!!Total:!!Regular high school diploma"
"B15003_018E","Estimate!!Total:!!GED or alternative credential"
"B15003_018EA","Annotation of Estimate!!Total:!!GED or alternative credential"
"B15003_018M","Margin of Error!!Total:!!GED or alternative credential"
