"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_001MA","B15003_001EA","B15003_002E","B15003_002EA","B15003_002M","B15003_002MA","B15003_003E","B15003_003M","B15003_003MA","B15003_003EA","B15003_004E","B15003_004EA","B15003_004M","B15003_004MA","B15003_005E","B15003_005EA","B15003_005M","B15003_005MA","B15003_006E","B15003_006M","B15003_006MA","B15003_006EA","B15003_007E","B15003_007EA","B15003_007M","B15003_007MA","B15003_008E","B15003_008EA","B15003_008M","B15003_008MA","B15003_009E","B15003_009M","B15003_009MA","B15003_009EA","B15003_010E","B15003_010M","B15003_010MA","B15003_010EA","B15003_011E","B15003_011M","B15003_011MA","B15003_011EA","B15003_012E","B15003_012M","B15003_012MA","B15003_012EA","B15003_013E","B15003_013EA","B15003_013M","B15003_013MA","B15003_014E","B15003_014EA","B15003_014M","B15003_014MA","B15003_015E","B15003_015M","B15003_015MA","B15003_015EA","B15003_016E","B15003_016EA","B15003_016M","B15003_016MA","B15003_017E","B15003_017M","B15003_017MA","B15003_017EA","B15003_018E","B15003_018EA","B15003_018M","B15003_018MA","B15003_019E","B15003_019EA","B15003_019M","B15003_019MA","B15003_020E","B15003_020M","B15003_020MA","B15003_020EA","B15003_021E","B15003_021M","B15003_021MA","B15003_021EA","B15003_022E","B15003_022M","B15003_022MA","B15003_022EA","B15003_023E","B15003_023EA","B15003_023M","B15003_023MA","B15003_024E","B15003_024EA","B15003_024M","B15003_024MA","B15003_025E","B15003_025M","B15003_025MA","B15003_025EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!No schooling completed","Annotation of Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Annotation of Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Annotation of Margin of Error!!Total:!!Nursery school","Annotation of Estimate!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Annotation of Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Annotation of Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Annotation of Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Annotation of Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Annotation of Margin of Error!!Total:!!2nd grade","Annotation of Estimate!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Annotation of Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Annotation of Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Annotation of Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Annotation of Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Annotation of Margin of Error!!Total:!!5th grade","Annotation of Estimate!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Annotation of Margin of Error!!Total:!!6th grade","Annotation of Estimate!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Annotation of Margin of Error!!Total:!!7th grade","Annotation of Estimate!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Annotation of Margin of Error!!Total:!!8th grade","Annotation of Estimate!!Total:!!8th grade","Estimate!!Total:!!9th grade","Annotation of Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Annotation of Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Annotation of Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Annotation of Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Annotation of Margin of Error!!Total:!!11th grade","Annotation of Estimate!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Annotation of Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Annotation of Margin of Error!!Total:!!Regular high school diploma","Annotation of Estimate!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Annotation of Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Annotation of Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Annotation of Margin of Error!!Total:!!Associate's degree","Annotation of Estimate!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Bachelor's degree","Annotation of Estimate!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Annotation of Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Annotation of Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Annotation of Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Annotation of Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Doctorate degree","Annotation of Estimate!!Total:!!Doctorate degree",
"1500000US510010901011","Block Group 1, Census Tract 901.01, Accomack County, Virginia","806","203","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","16","null","18","null","18","23","null","null","29","null","37","null","162","96","null","null","0","null","13","null","52","null","47","null","130","88","null","null","81","75","null","null","214","133","null","null","71","null","48","null","26","null","30","null","7","11","null","null",
"1500000US510010901012","Block Group 2, Census Tract 901.01, Accomack County, Virginia","842","212","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","40","null","37","null","0","13","null","null","13","null","21","null","217","120","null","null","51","null","49","null","69","null","45","null","58","86","null","null","100","63","null","null","183","99","null","null","83","null","73","null","0","null","13","null","28","32","null","null",
"1500000US510010901021","Block Group 1, Census Tract 901.02, Accomack County, Virginia","724","168","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","47","null","55","null","11","18","null","null","0","null","13","null","112","63","null","null","41","null","38","null","89","null","64","null","69","58","null","null","55","56","null","null","136","77","null","null","95","null","62","null","58","null","51","null","11","16","null","null",
"1500000US510010901022","Block Group 2, Census Tract 901.02, Accomack County, Virginia","315","113","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","14","null","21","null","0","null","13","null","0","13","null","null","12","null","19","null","76","39","null","null","13","null","21","null","0","null","13","null","43","48","null","null","17","25","null","null","47","46","null","null","83","null","55","null","10","null","16","null","0","13","null","null",
"1500000US510010902011","Block Group 1, Census Tract 902.01, Accomack County, Virginia","957","249","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","38","61","null","null","12","29","null","null","36","60","null","null","49","null","75","null","131","null","91","null","22","35","null","null","63","null","77","null","259","145","null","null","13","null","21","null","19","null","31","null","120","125","null","null","36","46","null","null","68","95","null","null","91","null","92","null","0","null","13","null","0","13","null","null",
"1500000US510010902012","Block Group 2, Census Tract 902.01, Accomack County, Virginia","1349","397","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","15","null","23","null","33","38","null","null","0","null","13","null","600","253","null","null","34","null","41","null","115","null","83","null","74","71","null","null","115","84","null","null","282","169","null","null","64","null","53","null","17","null","29","null","0","13","null","null",
"1500000US510010902021","Block Group 1, Census Tract 902.02, Accomack County, Virginia","856","369","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","104","114","null","null","0","null","13","null","0","null","13","null","20","41","null","null","28","null","28","null","418","234","null","null","6","null","13","null","179","null","102","null","33","54","null","null","0","13","null","null","0","13","null","null","51","null","59","null","0","null","13","null","17","34","null","null",
"1500000US510010902022","Block Group 2, Census Tract 902.02, Accomack County, Virginia","827","300","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","8","17","null","null","0","null","13","null","0","null","13","null","30","44","null","null","3","null","8","null","300","157","null","null","92","null","101","null","61","null","98","null","106","81","null","null","59","71","null","null","147","100","null","null","0","null","13","null","0","null","13","null","21","36","null","null",
"1500000US510010902023","Block Group 3, Census Tract 902.02, Accomack County, Virginia","604","213","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","103","null","111","null","0","13","null","null","0","null","13","null","211","144","null","null","34","null","41","null","85","null","80","null","11","19","null","null","91","81","null","null","43","48","null","null","26","null","26","null","0","null","13","null","0","13","null","null",
"1500000US510010903001","Block Group 1, Census Tract 903, Accomack County, Virginia","402","119","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","1","2","null","null","1","3","null","null","2","3","null","null","2","3","null","null","2","null","3","null","39","null","36","null","31","28","null","null","4","null","5","null","130","67","null","null","19","null","33","null","57","null","38","null","57","35","null","null","32","29","null","null","12","10","null","null","11","null","9","null","2","null","3","null","0","13","null","null",
"1500000US510010903002","Block Group 2, Census Tract 903, Accomack County, Virginia","612","191","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","8","14","null","null","2","3","null","null","0","13","null","null","2","null","4","null","57","null","61","null","33","33","null","null","23","null","27","null","315","148","null","null","8","null","7","null","24","null","16","null","34","33","null","null","40","33","null","null","61","49","null","null","5","null","7","null","0","null","13","null","0","13","null","null",
"1500000US510010903003","Block Group 3, Census Tract 903, Accomack County, Virginia","633","206","null","null","16","null","17","null","0","13","null","null","0","null","13","null","0","null","13","null","5","8","null","null","8","null","11","null","0","null","13","null","0","13","null","null","0","13","null","null","7","7","null","null","8","9","null","null","19","null","22","null","31","null","26","null","10","9","null","null","12","null","15","null","179","73","null","null","83","null","78","null","38","null","19","null","80","42","null","null","106","81","null","null","17","12","null","null","7","null","9","null","5","null","6","null","2","5","null","null",
"1500000US510010904011","Block Group 1, Census Tract 904.01, Accomack County, Virginia","1328","302","null","null","34","null","56","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","14","null","24","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","24","41","null","null","44","null","72","null","55","null","74","null","145","165","null","null","68","null","94","null","471","257","null","null","0","null","13","null","197","null","137","null","70","65","null","null","92","116","null","null","38","57","null","null","62","null","94","null","14","null","22","null","0","13","null","null",
"1500000US510010904012","Block Group 2, Census Tract 904.01, Accomack County, Virginia","1121","255","null","null","20","null","30","null","0","13","null","null","0","null","13","null","36","null","55","null","0","13","null","null","5","null","9","null","4","null","9","null","63","83","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","5","null","8","null","78","105","null","null","0","null","13","null","265","156","null","null","71","null","59","null","54","null","45","null","115","86","null","null","35","46","null","null","239","100","null","null","131","null","140","null","0","null","13","null","0","13","null","null",
"1500000US510010904021","Block Group 1, Census Tract 904.02, Accomack County, Virginia","1306","315","null","null","67","null","84","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","83","null","124","null","0","null","13","null","0","13","null","null","7","13","null","null","55","77","null","null","50","59","null","null","74","null","82","null","7","null","12","null","65","79","null","null","64","null","51","null","497","227","null","null","62","null","67","null","26","null","32","null","38","43","null","null","96","102","null","null","91","69","null","null","8","null","16","null","16","null","20","null","0","13","null","null",
"1500000US510010904022","Block Group 2, Census Tract 904.02, Accomack County, Virginia","1287","340","null","null","43","null","52","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","97","null","109","null","0","null","13","null","47","64","null","null","102","83","null","null","61","76","null","null","0","13","null","null","6","null","13","null","33","null","41","null","57","57","null","null","15","null","28","null","224","126","null","null","70","null","84","null","43","null","31","null","180","113","null","null","106","103","null","null","122","72","null","null","68","null","58","null","13","null","15","null","0","13","null","null",
"1500000US510010905001","Block Group 1, Census Tract 905, Accomack County, Virginia","341","114","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","18","22","null","null","0","null","13","null","7","null","11","null","0","13","null","null","5","null","8","null","124","62","null","null","5","null","10","null","46","null","35","null","43","39","null","null","37","36","null","null","51","48","null","null","5","null","9","null","0","null","13","null","0","13","null","null",
"1500000US510010905002","Block Group 2, Census Tract 905, Accomack County, Virginia","830","251","null","null","7","null","10","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","18","null","29","null","3","null","5","null","14","23","null","null","33","40","null","null","0","13","null","null","0","13","null","null","39","null","56","null","53","null","48","null","27","28","null","null","13","null","25","null","285","106","null","null","36","null","30","null","40","null","35","null","106","57","null","null","39","26","null","null","79","63","null","null","33","null","24","null","0","null","13","null","5","7","null","null",
"1500000US510010905003","Block Group 3, Census Tract 905, Accomack County, Virginia","387","181","null","null","5","null","11","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","8","12","null","null","81","null","71","null","2","null","4","null","0","13","null","null","0","null","13","null","181","112","null","null","39","null","44","null","9","null","14","null","21","26","null","null","0","13","null","null","37","35","null","null","4","null","8","null","0","null","13","null","0","13","null","null",
"1500000US510010906001","Block Group 1, Census Tract 906, Accomack County, Virginia","360","125","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","12","12","null","null","38","null","26","null","25","null","21","null","40","40","null","null","0","null","13","null","140","66","null","null","59","null","47","null","18","null","24","null","13","17","null","null","0","13","null","null","7","12","null","null","8","null","13","null","0","null","13","null","0","13","null","null",
"1500000US510010906002","Block Group 2, Census Tract 906, Accomack County, Virginia","765","208","null","null","17","null","28","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","5","null","10","null","0","13","null","null","15","20","null","null","0","13","null","null","0","13","null","null","0","null","13","null","14","null","25","null","91","75","null","null","0","null","13","null","166","75","null","null","0","null","13","null","70","null","56","null","132","81","null","null","62","74","null","null","108","92","null","null","56","null","41","null","17","null","24","null","12","19","null","null",
"1500000US510010906003","Block Group 3, Census Tract 906, Accomack County, Virginia","890","191","null","null","8","null","12","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","6","null","10","null","0","null","13","null","0","13","null","null","0","13","null","null","3","10","null","null","25","50","null","null","5","null","9","null","2","null","4","null","24","26","null","null","0","null","13","null","242","93","null","null","23","null","24","null","50","null","29","null","112","55","null","null","85","47","null","null","121","41","null","null","135","null","56","null","39","null","27","null","10","10","null","null",
"1500000US510010906004","Block Group 4, Census Tract 906, Accomack County, Virginia","957","227","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","11","null","18","null","8","11","null","null","0","null","13","null","269","163","null","null","0","null","13","null","36","null","44","null","143","124","null","null","102","51","null","null","162","66","null","null","140","null","73","null","15","null","23","null","71","70","null","null",
