"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B23025_001E","Estimate!!Total:"
"B23025_001M","Margin of Error!!Total:"
"B23025_001MA","Annotation of Margin of Error!!Total:"
"B23025_001EA","Annotation of Estimate!!Total:"
"B23025_002E","Estimate!!Total:!!In labor force:"
"B23025_002M","Margin of Error!!Total:!!In labor force:"
"B23025_002MA","Annotation of Margin of Error!!Total:!!In labor force:"
"B23025_002EA","Annotation of Estimate!!Total:!!In labor force:"
"B23025_003E","Estimate!!Total:!!In labor force:!!Civilian labor force:"
"B23025_003M","Margin of Error!!Total:!!In labor force:!!Civilian labor force:"
"B23025_003MA","Annotation of Margin of Error!!Total:!!In labor force:!!Civilian labor force:"
"B23025_003EA","Annotation of Estimate!!Total:!!In labor force:!!Civilian labor force:"
"B23025_004E","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed"
"B23025_004M","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed"
"B23025_004MA","Annotation of Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed"
"B23025_004EA","Annotation of Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed"
"B23025_005E","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"B23025_005M","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"B23025_005MA","Annotation of Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"B23025_005EA","Annotation of Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"B23025_006E","Estimate!!Total:!!In labor force:!!Armed Forces"
"B23025_006M","Margin of Error!!Total:!!In labor force:!!Armed Forces"
"B23025_006MA","Annotation of Margin of Error!!Total:!!In labor force:!!Armed Forces"
"B23025_006EA","Annotation of Estimate!!Total:!!In labor force:!!Armed Forces"
"B23025_007E","Estimate!!Total:!!Not in labor force"
"B23025_007M","Margin of Error!!Total:!!Not in labor force"
"B23025_007MA","Annotation of Margin of Error!!Total:!!Not in labor force"
"B23025_007EA","Annotation of Estimate!!Total:!!Not in labor force"
