"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"1500000US510010901011","Block Group 1, Census Tract 901.01, Accomack County, Virginia","60026","null","8699","null",
"1500000US510010901012","Block Group 2, Census Tract 901.01, Accomack County, Virginia","67121","null","31552","null",
"1500000US510010901021","Block Group 1, Census Tract 901.02, Accomack County, Virginia","43929","null","17373","null",
"1500000US510010901022","Block Group 2, Census Tract 901.02, Accomack County, Virginia","23990","null","6252","null",
"1500000US510010902011","Block Group 1, Census Tract 902.01, Accomack County, Virginia","31606","null","8470","null",
"1500000US510010902012","Block Group 2, Census Tract 902.01, Accomack County, Virginia","75568","null","21217","null",
"1500000US510010902021","Block Group 1, Census Tract 902.02, Accomack County, Virginia","51019","null","30284","null",
"1500000US510010902022","Block Group 2, Census Tract 902.02, Accomack County, Virginia","49066","null","17131","null",
"1500000US510010902023","Block Group 3, Census Tract 902.02, Accomack County, Virginia","65109","null","55627","null",
"1500000US510010903001","Block Group 1, Census Tract 903, Accomack County, Virginia","60417","null","32890","null",
"1500000US510010903002","Block Group 2, Census Tract 903, Accomack County, Virginia","33111","null","8657","null",
"1500000US510010903003","Block Group 3, Census Tract 903, Accomack County, Virginia","60536","null","30271","null",
"1500000US510010904011","Block Group 1, Census Tract 904.01, Accomack County, Virginia","82556","null","29918","null",
"1500000US510010904012","Block Group 2, Census Tract 904.01, Accomack County, Virginia","83333","null","10827","null",
"1500000US510010904021","Block Group 1, Census Tract 904.02, Accomack County, Virginia","46618","null","33565","null",
"1500000US510010904022","Block Group 2, Census Tract 904.02, Accomack County, Virginia","47321","null","2607","null",
"1500000US510010905001","Block Group 1, Census Tract 905, Accomack County, Virginia","48000","null","15555","null",
"1500000US510010905002","Block Group 2, Census Tract 905, Accomack County, Virginia","60000","null","17811","null",
"1500000US510010905003","Block Group 3, Census Tract 905, Accomack County, Virginia","34107","null","33196","null",
"1500000US510010906001","Block Group 1, Census Tract 906, Accomack County, Virginia","31875","null","30919","null",
"1500000US510010906002","Block Group 2, Census Tract 906, Accomack County, Virginia","46058","null","20601","null",
"1500000US510010906003","Block Group 3, Census Tract 906, Accomack County, Virginia","48274","null","7134","null",
"1500000US510010906004","Block Group 4, Census Tract 906, Accomack County, Virginia","77344","null","19759","null",
"1500000US510010907001","Block Group 1, Census Tract 907, Accomack County, Virginia","62574","null","24599","null",
"1500000US510010907002","Block Group 2, Census Tract 907, Accomack County, Virginia","26484","null","12443","null",
"1500000US510010907003","Block Group 3, Census Tract 907, Accomack County, Virginia","74063","null","52297","null",
"1500000US510010907004","Block Group 4, Census Tract 907, Accomack County, Virginia","92966","null","52678","null",
"1500000US510010907005","Block Group 5, Census Tract 907, Accomack County, Virginia","51052","null","26091","null",
"1500000US510010908001","Block Group 1, Census Tract 908, Accomack County, Virginia","42429","null","9149","null",
"1500000US510010908002","Block Group 2, Census Tract 908, Accomack County, Virginia","40750","null","17285","null",
"1500000US510010908003","Block Group 3, Census Tract 908, Accomack County, Virginia","58690","null","28070","null",
"1500000US510019801001","Block Group 1, Census Tract 9801, Accomack County, Virginia","-","-","**","**",
"1500000US510019802001","Block Group 1, Census Tract 9802, Accomack County, Virginia","-","-","**","**",
"1500000US510019901000","Block Group 0, Census Tract 9901, Accomack County, Virginia","-","-","**","**",
"1500000US510019902000","Block Group 0, Census Tract 9902, Accomack County, Virginia","-","-","**","**",
"1500000US510030101001","Block Group 1, Census Tract 101, Albemarle County, Virginia","89375","null","10919","null",
"1500000US510030101002","Block Group 2, Census Tract 101, Albemarle County, Virginia","72813","null","13013","null",
"1500000US510030101003","Block Group 3, Census Tract 101, Albemarle County, Virginia","121000","null","50439","null",
"1500000US510030102011","Block Group 1, Census Tract 102.01, Albemarle County, Virginia","112857","null","21335","null",
