"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US510010901011","Block Group 1, Census Tract 901.01, Accomack County, Virginia","895","null","224","null","887","null","225","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","8","14","null","null","0","null","13","null","8","null","14","null",
"1500000US510010901012","Block Group 2, Census Tract 901.01, Accomack County, Virginia","1002","null","248","null","945","null","257","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","57","73","null","null","0","null","13","null","57","null","73","null",
"1500000US510010901021","Block Group 1, Census Tract 901.02, Accomack County, Virginia","794","null","198","null","783","null","200","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","11","22","null","null","0","null","13","null","11","null","22","null",
"1500000US510010901022","Block Group 2, Census Tract 901.02, Accomack County, Virginia","594","null","210","null","513","null","184","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","81","107","null","null","0","null","13","null","81","null","107","null",
"1500000US510010902011","Block Group 1, Census Tract 902.01, Accomack County, Virginia","1167","null","340","null","909","null","366","null","199","163","null","null","0","13","null","null","59","null","81","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010902012","Block Group 2, Census Tract 902.01, Accomack County, Virginia","1833","null","555","null","1833","null","555","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010902021","Block Group 1, Census Tract 902.02, Accomack County, Virginia","1174","null","459","null","304","null","185","null","807","383","null","null","0","13","null","null","54","null","61","null","0","null","13","null","9","null","17","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010902022","Block Group 2, Census Tract 902.02, Accomack County, Virginia","1026","null","424","null","631","null","302","null","374","308","null","null","0","13","null","null","21","null","33","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1500000US510010902023","Block Group 3, Census Tract 902.02, Accomack County, Virginia","784","null","312","null","622","null","238","null","162","181","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null",
